#date:2020-04-25
symbol	name	alias_symbol	alias_name	entrez_id	ensembl_gene_id	ucsc_id	refseq_accession	ccds_id	uniprot_ids
AASDH	aminoadipate-semialdehyde dehydrogenase	"NRPS998|LYS2|ACSF4"	"acyl-CoA synthetase family member 4|Beta-alanine-activating enzyme"	132949	ENSG00000157426	uc003hbn.5	NM_181806	"CCDS3504|CCDS68705|CCDS68706|CCDS75126|CCDS75127"	Q4L235
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	"LYS5|CGI-80|AASD-PPT|ACPS"	"holo ACP synthase|holo-[acyl-carrier-protein] synthase"	60496	ENSG00000149313	uc001pjc.2	NM_015423	CCDS31664	Q9NRN7
AASS	aminoadipate-semialdehyde synthase	"LORSDH|LKRSDH"		10157	ENSG00000008311	uc003vkb.4	NM_005763	CCDS5783	Q9UDR5
AATF	apoptosis antagonizing transcription factor	"DED|CHE-1|CHE1|BFR2"		26574	ENSG00000275700	uc002hni.3	NM_012138	CCDS32632	Q9NY61
AATK	apoptosis associated tyrosine kinase	"AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77"	"lemur tyrosine kinase 1|protein phosphatase 1, regulatory subunit 77"	9625	ENSG00000181409	uc010dia.4	NM_004920	"CCDS45807|CCDS58607"	Q6ZMQ8
ABAT	4-aminobutyrate aminotransferase	"GABAT|GABA-T"	"4-aminobutyrate transaminase|gamma-aminobutyrate aminotransferase|GABA transaminase"	18	ENSG00000183044	uc002czc.5	NM_020686	CCDS10534	P80404
ABCA1	ATP binding cassette subfamily A member 1	TGD	Tangier disease	19	ENSG00000165029	uc004bcl.4	NM_005502	CCDS6762	O95477
ABCA2	ATP binding cassette subfamily A member 2			20	ENSG00000107331	uc064xhf.1	NM_001606	CCDS43909	Q9BZC7
ABCA3	ATP binding cassette subfamily A member 3	"ABC-C|EST111653|LBM180"		21	ENSG00000167972	uc002cpy.2	NM_001089	CCDS10466	Q99758
ABCA4	ATP binding cassette subfamily A member 4	"FFM|ARMD2|CORD3"	Stargardt disease	24	ENSG00000198691	uc001dqh.4	NM_000350	CCDS747	P78363
ABCA5	ATP binding cassette subfamily A member 5	EST90625		23461	ENSG00000154265	uc002jig.3	NM_018672	CCDS11685	Q8WWZ7
ABCA6	ATP binding cassette subfamily A member 6	EST155051		23460	ENSG00000154262	uc002jhw.2	NM_080284	CCDS11683	Q8N139
ABCA7	ATP binding cassette subfamily A member 7	ABCX		10347	ENSG00000064687	uc002lqw.5	NM_019112	CCDS12055	Q8IZY2
ABCA8	ATP binding cassette subfamily A member 8	KIAA0822		10351	ENSG00000141338	uc002jhq.5	NM_007168	"CCDS11680|CCDS74138|CCDS74139"	O94911
ABCA9	ATP binding cassette subfamily A member 9	EST640918		10350	ENSG00000154258	uc002jhu.4	NM_172386	CCDS11681	Q8IUA7
ABCA10	ATP binding cassette subfamily A member 10	EST698739		10349	ENSG00000154263	uc010dfa.2	NM_080282	CCDS11684	Q8WWZ4
ABCA12	ATP binding cassette subfamily A member 12	"DKFZP434G232|LI2"		26154	ENSG00000144452	uc002vew.3	NM_173076	"CCDS33372|CCDS33373"	Q86UK0
ABCA13	ATP binding cassette subfamily A member 13	"FLJ33876|FLJ33951"		154664	ENSG00000179869	uc003toq.2	NM_152701	CCDS47584	Q86UQ4
ABCB1	ATP binding cassette subfamily B member 1	"P-gp|CD243|GP170|ABC20"	multidrug resistance protein 1	5243	ENSG00000085563	uc003uiz.3	NM_000927	CCDS5608	P08183
ABCB4	ATP binding cassette subfamily B member 4	"MDR2|PFIC-3|GBD1"		5244	ENSG00000005471	uc003uix.1	NM_000443	"CCDS5605|CCDS5606|CCDS5607"	P21439
ABCB5	ATP binding cassette subfamily B member 5	"EST422562|ABCB5beta|ABCB5alpha"	"P-glycoprotein ABCB5|ATP-binding cassette protein"	340273	ENSG00000004846	uc010kuh.4	NM_178559	"CCDS5371|CCDS55090|CCDS55091|CCDS55092"	Q2M3G0
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	"EST45597|umat|MTABC3"	ATP-binding cassette half-transporter	10058	ENSG00000115657	uc002vkc.3	NM_005689	"CCDS2436|CCDS86920"	Q9NP58
ABCB7	ATP binding cassette subfamily B member 7	"EST140535|Atm1p|ASAT"		22	ENSG00000131269	uc004ebz.5	NM_004299	"CCDS14428|CCDS65290|CCDS65291|CCDS75994"	O75027
ABCB8	ATP binding cassette subfamily B member 8	"EST328128|M-ABC1|MABC1|MITOSUR"	mitochondrial ABC protein	11194	ENSG00000197150	uc003wik.6	NM_007188	"CCDS5913|CCDS64798|CCDS64799|CCDS64800"	Q9NUT2
ABCB9	ATP binding cassette subfamily B member 9	EST122234		23457	ENSG00000150967	uc058upb.1	NM_019624	"CCDS9241|CCDS58286|CCDS58287|CCDS58288"	Q9NP78
ABCB10	ATP binding cassette subfamily B member 10	"EST20237|M-ABC2|MTABC2"	"ATP-binding cassette sub-family B member 10, mitochondrial|ATP-binding cassette transporter 10|ABC transporter 10 protein|mitochondrial ATP-binding cassette 2"	23456	ENSG00000135776	uc001htp.4	NM_012089	CCDS1580	Q9NRK6
ABCB11	ATP binding cassette subfamily B member 11	"ABC16|SPGP|PFIC-2|PGY4"	ABC member 16, MDR/TAP subfamily	8647	ENSG00000073734	uc002ueo.2	NM_003742	CCDS46444	O95342
ABCC1	ATP binding cassette subfamily C member 1	GS-X		4363	ENSG00000103222	uc010bvi.4	NM_004996	CCDS42122	P33527
ABCC2	ATP binding cassette subfamily C member 2	"DJS|MRP2|cMRP"		1244	ENSG00000023839	uc001kqf.3	NM_000392	CCDS7484	Q92887
ABCC3	ATP binding cassette subfamily C member 3	"MRP3|cMOAT2|EST90757|MLP2|MOAT-D"	canalicular multispecific organic anion transporter 2	8714	ENSG00000108846	uc002isl.4	NM_020038	"CCDS32681|CCDS45739"	O15438
ABCC4	ATP binding cassette subfamily C member 4	"MRP4|EST170205|MOAT-B|MOATB"	"canalicular multispecific organic anion transporter (ABC superfamily)|bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)|multidrug resistance-associated protein 4|multispecific organic anion transporter B"	10257	ENSG00000125257	uc001vmd.5	NM_005845	"CCDS9474|CCDS45061|CCDS76643|CCDS86356"	O15439
ABCC5	ATP binding cassette subfamily C member 5	"MRP5|SMRP|EST277145|MOAT-C"		10057	ENSG00000114770	uc003fmg.4	NM_005688	"CCDS33898|CCDS43176"	O15440
ABCC6	ATP binding cassette subfamily C member 6	"MRP6|EST349056|MLP1|URG7"		368	ENSG00000091262	uc002den.5	NM_001079528	"CCDS10568|CCDS58430"	O95255
ABCC8	ATP binding cassette subfamily C member 8	"HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2"	sulfonylurea receptor (hyperinsulinemia)	6833	ENSG00000006071	uc001mnc.4	NM_000352	"CCDS31437|CCDS73264|CCDS86183|CCDS86184|CCDS86185"	Q09428
ABCC9	ATP binding cassette subfamily C member 9	"SUR2|CMD1O"	sulfonylurea receptor 2	10060	ENSG00000069431	uc001rfi.2	NM_005691	"CCDS8693|CCDS8694"	O60706
ABCC10	ATP binding cassette subfamily C member 10	"EST182763|MRP7|SIMRP7"		89845	ENSG00000124574	uc003ouz.1	NM_033450	"CCDS4896|CCDS56430"	Q5T3U5
ABCC11	ATP binding cassette subfamily C member 11	MRP8		85320	ENSG00000121270	uc059txd.1	NM_032583	"CCDS10732|CCDS10733"	Q96J66
ABCC12	ATP binding cassette subfamily C member 12	MRP9		94160	ENSG00000140798	uc002efc.1	NM_033226	CCDS10730	Q96J65
ABCD1	ATP binding cassette subfamily D member 1	"AMN|ALDP|adrenoleukodystrophy"		215	ENSG00000101986	uc004fif.2	NM_000033	CCDS14728	P33897
ABCD2	ATP binding cassette subfamily D member 2	"ALDR|ALDRP"		225	ENSG00000173208	uc001rmb.3	NM_005164	CCDS8734	Q9UBJ2
ABCD3	ATP binding cassette subfamily D member 3	"PMP70|ZWS2"		5825	ENSG00000117528	uc001dqn.5	NM_002858	"CCDS749|CCDS44175"	P28288
ABCD4	ATP binding cassette subfamily D member 4	"PMP69|P70R|EST352188"		5826	ENSG00000119688	uc001xpr.3	NM_005050	CCDS9828	O14678
ABCE1	ATP binding cassette subfamily E member 1	"RLI|OABP|RLI1"	RNase L inhibitor 1	6059	ENSG00000164163	uc003ijy.4	NM_002940	CCDS34071	P61221
ABCF1	ATP binding cassette subfamily F member 1	EST123147		23	ENSG00000204574	uc003nql.4	NM_001025091	"CCDS34380|CCDS34381"	Q8NE71
ABCF2	ATP binding cassette subfamily F member 2	"EST133090|ABC28|M-ABC1|HUSSY-18"		10061	ENSG00000033050	uc003wjp.5	NM_005692	"CCDS5922|CCDS5923"	Q9UG63
ABCF3	ATP binding cassette subfamily F member 3	EST201864		55324	ENSG00000161204	uc003fmz.3	NM_018358	"CCDS3254|CCDS87173"	Q9NUQ8
ABCG1	ATP binding cassette subfamily G member 1	ABC8	ATP-binding cassette transporter 8	9619	ENSG00000160179	uc002zaq.4	NM_207174	"CCDS13681|CCDS13682|CCDS13683|CCDS42937|CCDS42938"	P45844
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	"EST157481|MXR|BCRP|ABCP|CD338"		9429	ENSG00000118777	uc003hrg.4	NM_004827	"CCDS3628|CCDS58910"	Q9UNQ0
ABCG4	ATP binding cassette subfamily G member 4	WHITE2	"putative ABC transporter|ATP-binding cassette, subfamily G, member 4"	64137	ENSG00000172350	uc031yhk.2	NM_022169	CCDS8415	Q9H172
ABCG5	ATP binding cassette subfamily G member 5	STSL	sterolin 1	64240	ENSG00000138075	uc002rtn.3	NM_022436	CCDS1814	Q9H222
ABCG8	ATP binding cassette subfamily G member 8	GBD4	"gallbladder disease 4|sterolin 2"	64241	ENSG00000143921	uc002rtq.3	NM_022437	CCDS1815	Q9H221
ABHD1	abhydrolase domain containing 1	"LABH1|FLJ36128"		84696	ENSG00000143994	uc002rit.4	NM_032604	CCDS1736	Q96SE0
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	LABH2		11057	ENSG00000140526	uc002bnk.2	NM_007011	CCDS10348	P08910
ABHD3	abhydrolase domain containing 3, phospholipase	LABH3		171586	ENSG00000158201	uc002ktl.2	NM_001308256	"CCDS32802|CCDS77159|CCDS77160"	Q8WU67
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	FLJ12816		63874	ENSG00000100439	uc001wgm.4	NM_022060	CCDS9572	Q8TB40
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	"CGI-58|NCIE2"		51099	ENSG00000011198	uc003cmx.4	NM_016006	CCDS2711	Q8WTS1
ABHD6	abhydrolase domain containing 6, acylglycerol lipase			57406	ENSG00000163686	uc003djt.5	NM_020676	CCDS2887	Q9BV23
ABHD8	abhydrolase domain containing 8	"FLJ11743|MGC14280|MGC2512"		79575	ENSG00000127220	uc002ngb.4	NM_024527	CCDS12355	Q96I13
ABHD10	abhydrolase domain containing 10, depalmitoylase	FLJ11342	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	55347	ENSG00000144827	uc003dyk.6	NM_018394	"CCDS2963|CCDS63718"	Q9NUJ1
ABHD11	abhydrolase domain containing 11	PP1226		83451	ENSG00000106077	uc003tzb.4	NM_001145364	"CCDS5558|CCDS47607|CCDS47608|CCDS75615"	Q8NFV4
ABHD12	abhydrolase domain containing 12, lysophospholipase	"DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A"		26090	ENSG00000100997	uc002wus.3	NM_015600	"CCDS13172|CCDS42857"	Q8N2K0
ABHD12B	abhydrolase domain containing 12B	BEM46L3		145447	ENSG00000131969	uc001wyr.3	NM_001206673	"CCDS9702|CCDS55916"	Q7Z5M8
ABHD13	abhydrolase domain containing 13	"bA153I24.2|FLJ14906|BEM46L1"		84945	ENSG00000139826	uc001vqq.4	NM_032859	CCDS32007	Q7L211
ABHD14A	abhydrolase domain containing 14A	"DKFZP564O243|DORZ1"		25864	ENSG00000248487	uc003dco.4	NM_015407	CCDS2843	Q9BUJ0
ABHD14B	abhydrolase domain containing 14B	"MGC15429|CIB"		84836	ENSG00000114779	uc003dcn.3	NM_032750	CCDS2842	Q96IU4
ABHD15	abhydrolase domain containing 15			116236	ENSG00000168792	uc002hed.3	NM_198147	CCDS32602	Q6UXT9
ABHD16A	abhydrolase domain containing 16A, phospholipase	"NG26|D6S82E"		7920	ENSG00000204427	uc003nvy.3	NM_001177515	"CCDS4713|CCDS54988"	O95870
ABHD16B	abhydrolase domain containing 16B	dJ591C20.1		140701	ENSG00000183260	uc002ygx.3	NM_080622	CCDS13539	Q9H3Z7
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	MGC5244		81926	ENSG00000129968	uc002lug.4	NM_031213	"CCDS32867|CCDS45902"	Q96GS6
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	CGI-67		51104	ENSG00000107362	uc004ail.4	NM_016014	"CCDS35042|CCDS35043"	Q5VST6
ABHD17C	abhydrolase domain containing 17C, depalmitoylase			58489	ENSG00000136379	uc002bfu.4	NM_021214	CCDS45323	Q6PCB6
ABHD18	abhydrolase domain containing 18	FLJ21106		80167	ENSG00000164074		NM_001039717	CCDS87261	Q0P651
ABI1	abl interactor 1	"E3B1|ABI-1"		10006	ENSG00000136754	uc001isx.4	NM_005470	"CCDS7150|CCDS31169|CCDS31170|CCDS31171|CCDS53497|CCDS53498|CCDS53499|CCDS53500|CCDS53501|CCDS73077|CCDS73078"	Q8IZP0
ABI2	abl interactor 2	"ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2"		10152	ENSG00000138443	uc002uzz.5	NM_005759	"CCDS2358|CCDS63093|CCDS63094|CCDS74634"	Q9NYB9
ABI3	ABI family member 3	"NESH|SSH3BP3"		51225	ENSG00000108798	uc002iop.1	NM_016428	"CCDS11546|CCDS45725"	Q9P2A4
ABI3BP	ABI family member 3 binding protein	"NESHBP|DKFZP586L2024|TARSH"	target of Nesh-SH3	25890	ENSG00000154175	uc003dun.4	NM_001349329	CCDS46880	Q7Z7G0
ABITRAM	actin binding transcription modulator	"CG-8|FLJ20457|Simiate"		54942	ENSG00000119328	uc004bdn.4	NM_017832	CCDS6774	Q9NX38
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	"JTK7|c-ABL|p150"		25	ENSG00000097007	uc004bzv.4	NM_007313	"CCDS35165|CCDS35166"	P00519
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ARG	Abelson-related gene	27	ENSG00000143322	uc001gmj.5	NM_005158	"CCDS30947|CCDS41441|CCDS44282|CCDS44283|CCDS53435|CCDS53436|CCDS53437|CCDS53438"	P42684
ABLIM1	actin binding LIM protein 1	"abLIM|limatin"		3983	ENSG00000099204	uc057wcy.1	NM_001003407	"CCDS7590|CCDS31289|CCDS31288|CCDS81508|CCDS81509"	O14639
ABLIM2	actin binding LIM protein family member 2	KIAA1808		84448	ENSG00000163995	uc003gkj.5	NM_001130083	"CCDS47011|CCDS47012|CCDS47013|CCDS47014|CCDS47015|CCDS47016|CCDS54719|CCDS68669"	Q6H8Q1
ABLIM3	actin binding LIM protein family member 3	KIAA0843		22885	ENSG00000173210	uc003lpy.3	NM_014945	"CCDS4294|CCDS78069|CCDS78071|CCDS87335"	O94929
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	"A3GALNT|A3GALT1"		28	ENSG00000175164	uc064wua.1	NM_020469		P16442
ABR	ABR activator of RhoGEF and GTPase	MDB		29	ENSG00000159842	uc002fsd.6	NM_001092	"CCDS10999|CCDS11000|CCDS54060|CCDS58497|CCDS73936"	Q12979
ABRA	actin binding Rho activating protein	STARS	striated muscle activator of Rho-dependent signaling	137735	ENSG00000174429	uc003ymm.5	NM_139166	CCDS6305	Q8N0Z2
ABRACL	ABRA C-terminal like	"PRO2013|HSPC280|Costars"		58527	ENSG00000146386	uc003qil.2	NM_021243	CCDS43509	Q9P1F3
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	"FLJ13614|ABRA1|ABRAXAS"	Abraxas protein	84142	ENSG00000163322	uc003hou.3	NM_139076	CCDS3605	Q6UWZ7
ABRAXAS2	abraxas 2, BRISC complex subunit	"Em:AC068896.4|ABRO1"	Abraxas brother	23172	ENSG00000165660	uc001lib.4	NM_032182	CCDS31308	Q15018
ABT1	activator of basal transcription 1	Esf2		29777	ENSG00000146109	uc003nii.4	NM_013375	CCDS4616	Q9ULW3
ABTB1	ankyrin repeat and BTB domain containing 1	"BPOZ|EF1ABP|Btb3|BTBD21"		80325	ENSG00000114626	uc003ejt.4	NM_172027	"CCDS3045|CCDS46901"	Q969K4
ABTB2	ankyrin repeat and BTB domain containing 2	"DKFZP586C1619|BTBD22|ABTB2A"		25841	ENSG00000166016	uc001mvl.3	NM_145804	CCDS7890	Q8N961
ACAA1	acetyl-CoA acyltransferase 1		peroxisomal 3-oxoacyl-Coenzyme A thiolase	30	ENSG00000060971	uc003cht.4	NM_001607	"CCDS2673|CCDS46794"	P09110
ACAA2	acetyl-CoA acyltransferase 2	DSAEC	mitochondrial 3-oxoacyl-Coenzyme A thiolase	10449	ENSG00000167315	uc002ldw.5	NM_006111	CCDS11939	P42765
ACACA	acetyl-CoA carboxylase alpha	ACC1	acetyl-CoA carboxylase 1	31	ENSG00000278540	uc284osy.1	NM_198836	"CCDS11317|CCDS11318|CCDS42302|CCDS42303"	Q13085
ACACB	acetyl-CoA carboxylase beta	"HACC275|ACC2|ACCB"	acetyl-CoA carboxylase 2	32	ENSG00000076555	uc001tob.4	NM_001093	CCDS31898	O00763
ACAD8	acyl-CoA dehydrogenase family member 8		isobutyryl-CoA dehydrogenase	27034	ENSG00000151498	uc001qhk.4	NM_014384	CCDS8498	Q9UKU7
ACAD9	acyl-CoA dehydrogenase family member 9	"NPD002|MGC14452"		28976	ENSG00000177646	uc003ela.5	NM_014049	CCDS3053	Q9H845
ACAD10	acyl-CoA dehydrogenase family member 10	MGC5601		80724	ENSG00000111271	uc009zvx.4	NM_025247	"CCDS31903|CCDS44973"	Q6JQN1
ACAD11	acyl-CoA dehydrogenase family member 11	FLJ12592		84129	ENSG00000240303	uc003eov.5	NM_032169	CCDS3074	Q709F0
ACADL	acyl-CoA dehydrogenase long chain	"LCAD|ACAD4"		33	ENSG00000115361	uc002vdz.5	NM_001608	CCDS2389	P28330
ACADM	acyl-CoA dehydrogenase medium chain	"MCAD|MCADH|ACAD1"	medium-chain acyl-CoA dehydrogenase	34	ENSG00000117054	uc001dgw.6	NM_000016	"CCDS668|CCDS44165|CCDS65562|CCDS72807"	P11310
ACADS	acyl-CoA dehydrogenase short chain	"SCAD|ACAD3"		35	ENSG00000122971	uc001tza.5	NM_000017	"CCDS9207|CCDS76610"	P16219
ACADSB	acyl-CoA dehydrogenase short/branched chain	"SBCAD|ACAD7"		36	ENSG00000196177	uc001lhb.4	NM_001609	"CCDS7634|CCDS81518"	P45954
ACADVL	acyl-CoA dehydrogenase very long chain	"VLCAD|LCACD|ACAD6"		37	ENSG00000072778	uc002gev.5	NM_000018	"CCDS11090|CCDS42249|CCDS58509"	P49748
ACAN	aggrecan	CSPGCP	aggrecan proteoglycan	176	ENSG00000157766	uc010upo.1	NM_001135	"CCDS53970|CCDS53971"	P16112
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	KIAA0050		9744	ENSG00000072818	uc002ggd.3	NM_014716	CCDS11101	Q15027
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	"KIAA0041|CNT-B2"		23527	ENSG00000114331	uc003fun.5	NM_012287	CCDS33924	Q15057
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	KIAA1716		116983	ENSG00000131584	uc001aeb.3	NM_030649	CCDS19	Q96P50
ACAT1	acetyl-CoA acetyltransferase 1	THIL	acetoacetyl Coenzyme A thiolase	38	ENSG00000075239	uc001pjy.4	NM_000019	CCDS8339	P24752
ACAT2	acetyl-CoA acetyltransferase 2		acetoacetyl Coenzyme A thiolase	39	ENSG00000120437	uc010kjy.4	NM_005891	CCDS5268	Q9BWD1
ACBD3	acyl-CoA binding domain containing 3	"GCP60|PAP7"	PBR- and PKA-associated protein 7	64746	ENSG00000182827	uc001hpy.4	NM_022735	CCDS1551	Q9H3P7
ACBD4	acyl-CoA binding domain containing 4	FLJ13322		79777	ENSG00000181513	uc002iic.4	NM_024722	"CCDS42348|CCDS45710|CCDS45711"	Q8NC06
ACBD5	acyl-CoA binding domain containing 5	"DKFZp434A2417|KIAA1996"		91452	ENSG00000107897	uc001ito.4	NM_145698	"CCDS7154|CCDS44368|CCDS73079|CCDS76290|CCDS86078"	Q5T8D3
ACBD6	acyl-CoA binding domain containing 6	MGC2404		84320	ENSG00000230124	uc001gog.4	NM_032360	CCDS1339	Q9BR61
ACBD7	acyl-CoA binding domain containing 7	"FLJ38219|bA455B2.2"		414149	ENSG00000176244	uc001inv.4	NM_001039844	CCDS31153	Q8N6N7
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	"PHACS|ACS"		84680	ENSG00000110455	uc001mxx.3	NM_032592	CCDS7907	Q96QU6
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			390110	ENSG00000205126	uc001mxw.1	NM_001031854	CCDS41636	Q4AC99
ACD	ACD shelterin complex subunit and telomerase recruitment factor	"Ptop|Pip1|Tpp1|Tint1"	"TIN2 interacting protein 1|POT1 and TIN2 organizing protein"	65057	ENSG00000102977	uc002etp.5	NM_022914	"CCDS10842|CCDS42181"	Q96AP0
ACE	angiotensin I converting enzyme	"ACE1|CD143"	peptidyl-dipeptidase A	1636	ENSG00000159640	uc002jau.4	NM_000789	"CCDS11637|CCDS45755|CCDS54155"	P12821
ACE2	angiotensin I converting enzyme 2		peptidyl-dipeptidase A	59272	ENSG00000130234	uc004cxb.2	NM_001371415	CCDS14169	Q9BYF1
ACER1	alkaline ceramidase 1			125981	ENSG00000167769	uc002mel.3	NM_133492	CCDS12161	Q8TDN7
ACER2	alkaline ceramidase 2	"FLJ41587|ALKCDase2"		340485	ENSG00000177076	uc003zny.2	NM_001010887	CCDS34992	Q5QJU3
ACER3	alkaline ceramidase 3	"FLJ11238|APHC"	alkaline phytoceramidase	55331	ENSG00000078124	uc009yum.2	NM_018367	"CCDS8247|CCDS73352|CCDS76454"	Q9NUN7
ACHE	acetylcholinesterase (Cartwright blood group)		Yt blood group	43	ENSG00000087085	uc003uxi.4	NM_015831	"CCDS5709|CCDS5710|CCDS64736"	P22303
ACIN1	apoptotic chromatin condensation inducer 1	"KIAA0670|fSAP152"	functional spliceosome-associated protein 152	22985	ENSG00000100813	uc001wit.5	NM_014977	"CCDS9587|CCDS53887|CCDS53888|CCDS53889|CCDS55905"	Q9UKV3
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	"CCBP1|GPD|Dfy|CD234"	atypical chemokine receptor 1	2532	ENSG00000213088		NM_002036	"CCDS1183|CCDS44252"	Q16570
ACKR2	atypical chemokine receptor 2	"CCR10|D6|CCR9"		1238	ENSG00000144648		NM_001296	CCDS2706	O00590
ACKR3	atypical chemokine receptor 3	"RDC1|GPR159"		57007	ENSG00000144476		NM_020311	CCDS2516	P25106
